state,mig_state,household_weight
ALABAMA,ALASKA,929.0
ALABAMA,ARIZONA,528.0
ALABAMA,ARKANSAS,1137.0
ALABAMA,CALIFORNIA,3127.0
ALABAMA,COLORADO,1934.0
ALABAMA,CONNECTICUT,327.0
ALABAMA,DISTRICT OF COLUMBIA,255.0
ALABAMA,FLORIDA,13802.0
ALABAMA,GEORGIA,13120.0
ALABAMA,HAWAII,501.0
ALABAMA,ILLINOIS,2244.0
ALABAMA,INDIANA,2247.0
ALABAMA,IOWA,769.0
ALABAMA,KANSAS,1324.0
ALABAMA,KENTUCKY,934.0
ALABAMA,LOUISIANA,4819.0
ALABAMA,MAINE,145.0
ALABAMA,MARYLAND,504.0
ALABAMA,MASSACHUSETTS,1184.0
ALABAMA,MICHIGAN,1631.0
ALABAMA,MINNESOTA,13.0
ALABAMA,MISSISSIPPI,3532.0
ALABAMA,MISSOURI,1086.0
ALABAMA,MONTANA,62.0
ALABAMA,NEBRASKA,586.0
ALABAMA,NEVADA,793.0
ALABAMA,NEW HAMPSHIRE,16.0
ALABAMA,NEW JERSEY,749.0
ALABAMA,NEW MEXICO,69.0
ALABAMA,NEW YORK,2283.0
ALABAMA,NORTH CAROLINA,3897.0
ALABAMA,NORTH DAKOTA,24.0
ALABAMA,OHIO,2134.0
ALABAMA,OKLAHOMA,508.0
ALABAMA,OREGON,263.0
ALABAMA,PENNSYLVANIA,2682.0
ALABAMA,RHODE ISLAND,350.0
ALABAMA,SOUTH CAROLINA,1532.0
ALABAMA,TENNESSEE,9678.0
ALABAMA,TEXAS,9312.0
ALABAMA,UTAH,2275.0
ALABAMA,VIRGINIA,3628.0
ALABAMA,WASHINGTON,1674.0
ALABAMA,WEST VIRGINIA,180.0
ALABAMA,WISCONSIN,1075.0
ALASKA,ALABAMA,197.0
ALASKA,ARIZONA,506.0
ALASKA,ARKANSAS,22.0
ALASKA,CALIFORNIA,769.0
ALASKA,COLORADO,264.0
ALASKA,CONNECTICUT,115.0
ALASKA,DELAWARE,343.0
ALASKA,DISTRICT OF COLUMBIA,50.0
ALASKA,FLORIDA,2148.0
ALASKA,GEORGIA,667.0
ALASKA,HAWAII,189.0
ALASKA,IDAHO,1971.0
ALASKA,ILLINOIS,900.0
ALASKA,IOWA,437.0
ALASKA,KANSAS,1614.0
ALASKA,KENTUCKY,1735.0
ALASKA,LOUISIANA,618.0
ALASKA,MAINE,95.0
ALASKA,MARYLAND,770.0
ALASKA,MASSACHUSETTS,464.0
ALASKA,MICHIGAN,632.0
ALASKA,MINNESOTA,741.0
ALASKA,MISSOURI,27.0
ALASKA,MONTANA,96.0
ALASKA,NEBRASKA,2.0
ALASKA,NEVADA,1082.0
ALASKA,NEW MEXICO,975.0
ALASKA,NORTH CAROLINA,2683.0
ALASKA,NORTH DAKOTA,1289.0
ALASKA,OHIO,5.0
ALASKA,OKLAHOMA,301.0
ALASKA,OREGON,385.0
ALASKA,PENNSYLVANIA,467.0
ALASKA,SOUTH CAROLINA,396.0
ALASKA,SOUTH DAKOTA,449.0
ALASKA,TENNESSEE,5.0
ALASKA,TEXAS,5378.0
ALASKA,UTAH,518.0
ALASKA,VERMONT,40.0
ALASKA,VIRGINIA,2414.0
ALASKA,WASHINGTON,1068.0
ALASKA,WYOMING,88.0
ARIZONA,ALABAMA,1286.0
ARIZONA,ALASKA,1592.0
ARIZONA,ARKANSAS,617.0
ARIZONA,CALIFORNIA,57857.0
ARIZONA,COLORADO,14412.0
ARIZONA,CONNECTICUT,1081.0
ARIZONA,DELAWARE,818.0
ARIZONA,DISTRICT OF COLUMBIA,125.0
ARIZONA,FLORIDA,7381.0
ARIZONA,GEORGIA,2492.0
ARIZONA,HAWAII,4447.0
ARIZONA,IDAHO,1494.0
ARIZONA,ILLINOIS,10285.0
ARIZONA,INDIANA,3319.0
ARIZONA,IOWA,1711.0
ARIZONA,KANSAS,3997.0
ARIZONA,KENTUCKY,389.0
ARIZONA,LOUISIANA,1888.0
ARIZONA,MAINE,142.0
ARIZONA,MARYLAND,2301.0
ARIZONA,MASSACHUSETTS,2754.0
ARIZONA,MICHIGAN,6103.0
ARIZONA,MINNESOTA,6244.0
ARIZONA,MISSISSIPPI,462.0
ARIZONA,MISSOURI,1743.0
ARIZONA,MONTANA,2013.0
ARIZONA,NEBRASKA,1464.0
ARIZONA,NEVADA,7164.0
ARIZONA,NEW HAMPSHIRE,333.0
ARIZONA,NEW JERSEY,3992.0
ARIZONA,NEW MEXICO,7239.0
ARIZONA,NEW YORK,5777.0
ARIZONA,NORTH CAROLINA,4614.0
ARIZONA,NORTH DAKOTA,902.0
ARIZONA,OHIO,5113.0
ARIZONA,OKLAHOMA,2061.0
ARIZONA,OREGON,6871.0
ARIZONA,PENNSYLVANIA,3927.0
ARIZONA,RHODE ISLAND,330.0
ARIZONA,SOUTH CAROLINA,376.0
ARIZONA,SOUTH DAKOTA,896.0
ARIZONA,TENNESSEE,1918.0
ARIZONA,TEXAS,15186.0
ARIZONA,UTAH,7762.0
ARIZONA,VERMONT,856.0
ARIZONA,VIRGINIA,4010.0
ARIZONA,WASHINGTON,15634.0
ARIZONA,WEST VIRGINIA,356.0
ARIZONA,WISCONSIN,3340.0
ARIZONA,WYOMING,1210.0
ARKANSAS,ALABAMA,369.0
ARKANSAS,ALASKA,129.0
ARKANSAS,ARIZONA,296.0
ARKANSAS,CALIFORNIA,4280.0
ARKANSAS,COLORADO,2243.0
ARKANSAS,DISTRICT OF COLUMBIA,464.0
ARKANSAS,FLORIDA,1871.0
ARKANSAS,GEORGIA,1678.0
ARKANSAS,HAWAII,150.0
ARKANSAS,IDAHO,249.0
ARKANSAS,ILLINOIS,1274.0
ARKANSAS,INDIANA,125.0
ARKANSAS,IOWA,1120.0
ARKANSAS,KANSAS,895.0
ARKANSAS,KENTUCKY,307.0
ARKANSAS,LOUISIANA,5785.0
ARKANSAS,MARYLAND,402.0
ARKANSAS,MASSACHUSETTS,133.0
ARKANSAS,MICHIGAN,1071.0
ARKANSAS,MINNESOTA,1434.0
ARKANSAS,MISSISSIPPI,1381.0
ARKANSAS,MISSOURI,3539.0
ARKANSAS,MONTANA,58.0
ARKANSAS,NEBRASKA,436.0
ARKANSAS,NEVADA,1079.0
ARKANSAS,NEW JERSEY,578.0
ARKANSAS,NEW YORK,580.0
ARKANSAS,NORTH CAROLINA,425.0
ARKANSAS,OHIO,348.0
ARKANSAS,OKLAHOMA,4961.0
ARKANSAS,OREGON,189.0
ARKANSAS,PENNSYLVANIA,934.0
ARKANSAS,SOUTH CAROLINA,202.0
ARKANSAS,TENNESSEE,3297.0
ARKANSAS,TEXAS,12486.0
ARKANSAS,UTAH,601.0
ARKANSAS,VIRGINIA,578.0
ARKANSAS,WASHINGTON,444.0
ARKANSAS,WISCONSIN,174.0
ARKANSAS,WYOMING,1241.0
CALIFORNIA,ALABAMA,2586.0
CALIFORNIA,ALASKA,3022.0
CALIFORNIA,ARIZONA,22417.0
CALIFORNIA,ARKANSAS,2965.0
CALIFORNIA,COLORADO,15222.0
CALIFORNIA,CONNECTICUT,4082.0
CALIFORNIA,DELAWARE,1688.0
CALIFORNIA,DISTRICT OF COLUMBIA,2769.0
CALIFORNIA,FLORIDA,21621.0
CALIFORNIA,GEORGIA,13909.0
CALIFORNIA,HAWAII,13196.0
CALIFORNIA,IDAHO,3869.0
CALIFORNIA,ILLINOIS,24385.0
CALIFORNIA,INDIANA,4172.0
CALIFORNIA,IOWA,1757.0
CALIFORNIA,KANSAS,3343.0
CALIFORNIA,KENTUCKY,2431.0
CALIFORNIA,LOUISIANA,3739.0
CALIFORNIA,MAINE,1847.0
CALIFORNIA,MARYLAND,11071.0
CALIFORNIA,MASSACHUSETTS,14504.0
CALIFORNIA,MICHIGAN,5954.0
CALIFORNIA,MINNESOTA,7644.0
CALIFORNIA,MISSISSIPPI,1426.0
CALIFORNIA,MISSOURI,6259.0
CALIFORNIA,MONTANA,1536.0
CALIFORNIA,NEBRASKA,2628.0
CALIFORNIA,NEVADA,24322.0
CALIFORNIA,NEW HAMPSHIRE,362.0
CALIFORNIA,NEW JERSEY,10325.0
CALIFORNIA,NEW MEXICO,2934.0
CALIFORNIA,NEW YORK,35770.0
CALIFORNIA,NORTH CAROLINA,13640.0
CALIFORNIA,NORTH DAKOTA,577.0
CALIFORNIA,OHIO,8882.0
CALIFORNIA,OKLAHOMA,3855.0
CALIFORNIA,OREGON,16568.0
CALIFORNIA,PENNSYLVANIA,13057.0
CALIFORNIA,RHODE ISLAND,2992.0
CALIFORNIA,SOUTH CAROLINA,6126.0
CALIFORNIA,SOUTH DAKOTA,1376.0
CALIFORNIA,TENNESSEE,3862.0
CALIFORNIA,TEXAS,37207.0
CALIFORNIA,UTAH,7502.0
CALIFORNIA,VERMONT,700.0
CALIFORNIA,VIRGINIA,23578.0
CALIFORNIA,WASHINGTON,31173.0
CALIFORNIA,WEST VIRGINIA,460.0
CALIFORNIA,WISCONSIN,4663.0
CALIFORNIA,WYOMING,843.0
COLORADO,ALABAMA,2865.0
COLORADO,ALASKA,1007.0
COLORADO,ARIZONA,10862.0
COLORADO,ARKANSAS,858.0
COLORADO,CALIFORNIA,29908.0
COLORADO,CONNECTICUT,881.0
COLORADO,FLORIDA,16247.0
COLORADO,GEORGIA,6572.0
COLORADO,HAWAII,1511.0
COLORADO,IDAHO,674.0
COLORADO,ILLINOIS,9885.0
COLORADO,INDIANA,3496.0
COLORADO,IOWA,1971.0
COLORADO,KANSAS,6558.0
COLORADO,KENTUCKY,1825.0
COLORADO,LOUISIANA,4013.0
COLORADO,MAINE,757.0
COLORADO,MARYLAND,3572.0
COLORADO,MASSACHUSETTS,4004.0
COLORADO,MICHIGAN,3619.0
COLORADO,MINNESOTA,5269.0
COLORADO,MISSISSIPPI,630.0
COLORADO,MISSOURI,5185.0
COLORADO,MONTANA,2268.0
COLORADO,NEBRASKA,3929.0
