state,inbound_migration,outbound_migration,within_state_migration
ALABAMA,99862,93411,492611
ALASKA,32915,45052,61671
ARIZONA,238284,163620,822436
ARKANSAS,57806,65975,349937
CALIFORNIA,450816,619097,3668276
COLORADO,236936,191743,697566
CONNECTICUT,85779,99691,293083
DELAWARE,31838,24206,73963
DISTRICT OF COLUMBIA,53582,51313,58142
FLORIDA,535474,447085,2109256
GEORGIA,258249,241433,1055192
HAWAII,46870,63199,110230
IDAHO,75943,50311,196799
ILLINOIS,190531,296926,1225260
INDIANA,145727,135547,690207
IOWA,68176,65352,347380
KANSAS,95389,90076,338895
KENTUCKY,98800,96556,499881
LOUISIANA,60301,89396,443584
MAINE,34889,34300,127651
MARYLAND,137623,165434,551070
MASSACHUSETTS,137786,162029,624124
MICHIGAN,121643,142104,1058970
MINNESOTA,103571,106940,590594
MISSISSIPPI,53531,59179,268654
MISSOURI,148755,126249,675477
MONTANA,41189,39637,124646
NEBRASKA,45397,51812,236450
NEVADA,123515,92784,365164
NEW HAMPSHIRE,45210,39430,111267
NEW JERSEY,145189,223015,660627
NEW MEXICO,54495,67442,184110
NEW YORK,250213,403507,1640667
NORTH CAROLINA,292160,241978,1101693
NORTH DAKOTA,34883,32963,102331
OHIO,212833,187236,1386498
OKLAHOMA,96588,83576,506161
OREGON,128038,108307,480057
PENNSYLVANIA,272262,254596,1224076
RHODE ISLAND,34723,31482,74901
SOUTH CAROLINA,165593,120595,445961
SOUTH DAKOTA,26806,26414,102619
TENNESSEE,192161,142440,718431
TEXAS,517355,438861,3231254
UTAH,92731,79471,367902
VERMONT,18439,21868,49510
VIRGINIA,255261,278296,836243
WASHINGTON,221559,192105,945525
WEST VIRGINIA,41255,39377,153104
WISCONSIN,107030,97102,615640
WYOMING,25596,21039,66219
